Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
Gwent,2016,Collectible Card Game,841757.17,86366.0,320,110
Injustice 2,2017,Fighting Game,835742.83,1432.59,81,37
Halo: Reach,2010,First-Person Shooter,822089.97,60000.0,101,29
Ultra Street Fighter IV,2014,Fighting Game,816713.46,40.0,231,229
Vainglory,2014,Multiplayer Online Battle Arena,797421.19,100595.32,247,35
Chess.com,2007,Strategy,774490.96,774490.96,586,153
Clash of Clans,2012,Strategy,765216.87,0.0,77,5
Team Fortress 2,2007,First-Person Shooter,715461.6,321654.4,1353,194
Point Blank,2008,First-Person Shooter,699167.75,109269.6,297,32
Quake Live,2010,First-Person Shooter,682294.04,82321.11,213,410
FIFA Online 4,2018,Sports,679240.0,0.0,84,4
Forza Motorsport 7,2017,Racing,645200.0,49000.0,102,9
Teamfight Tactics,2019,Strategy,604313.65,369063.65,143,13
KartRider,2004,Racing,567366.35,0.0,76,20
Quake 4,2005,First-Person Shooter,556678.51,1890.0,100,52
F1 2019,2019,Racing,538047.38,0.0,25,2
Mortal Kombat X,2015,Fighting Game,523532.42,0.0,100,62
Pro Evolution Soccer 2017,2016,Sports,514697.71,0.0,39,16
Gears 5,2019,Third-Person Shooter,500000.0,60000.0,72,4
Dead or Alive 4,2005,Fighting Game,497745.31,0.0,45,13
Guild Wars 2,2012,Role-Playing Game,476005.5,126005.5,152,57
Halo 2 Anniversary,2014,First-Person Shooter,468705.05,0.0,97,20
FIFA 13,2012,Sports,458427.82,10232.23,53,62
TEPPEN,2019,Strategy,456721.47,0.0,12,1
Halo 4,2012,First-Person Shooter,430748.76,2250.0,66,19
Old School Runescape,2013,Role-Playing Game,422504.2,394004.2,66,22
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,420331.47,32402.16,422,86
Lichess,2010,Strategy,419825.0,419825.0,79,59
Blade & Soul,2012,Role-Playing Game,409355.52,0.0,51,5
Counter-Strike Online,2016,First-Person Shooter,406989.6,0.0,70,12
Madden NFL 2013,2012,Sports,400000.0,0.0,8,1
Mortal Kombat 11,2019,Fighting Game,392602.33,38000.0,158,37
Call of Duty: Black Ops,2010,First-Person Shooter,375793.48,28824.3,118,23
Super Street Fighter IV Arcade Edition,2010,Fighting Game,343878.08,0.0,153,202
Dragon Ball FighterZ,2018,Fighting Game,337985.4,850.0,159,73
Halo: Combat Evolved,2001,First-Person Shooter,299281.0,0.0,114,39
Project Gotham Racing 3,2005,Racing,297286.85,0.0,33,10
World in Conflict,2007,Strategy,293338.23,0.0,38,11
Madden NFL 2018,2017,Sports,279676.62,259000.0,40,3
Realm Royale,2018,First-Person Shooter,263000.0,263000.0,47,9
ShootMania Storm,2013,First-Person Shooter,261687.04,3400.54,80,40
Doom 3,2004,First-Person Shooter,257748.16,0.0,14,4
Gears of War,2006,Third-Person Shooter,252195.57,0.0,33,18
Pro Evolution Soccer 2018,2017,Sports,250000.0,0.0,20,3
Super Smash Bros. Brawl,2008,Fighting Game,246715.83,0.0,499,344
Battlefield 4,2013,First-Person Shooter,245766.46,33226.15,204,145
FIFA 07,2006,Sports,237812.23,0.0,42,13
Killer Instinct (2013),2013,Fighting Game,224466.96,50.0,128,53
Forza Motorsport 2,2007,Racing,222000.0,0.0,17,2
Pro Evolution Soccer 2019,2019,Sports,216000.0,0.0,25,2
Pokémon VGC,2017,Strategy,211500.0,0.0,170,24
FIFA 08,2007,Sports,207129.94,0.0,68,17
Project M,2010,Fighting Game,205292.09,0.0,560,335
Hyper Scape,2020,Multiplayer Online Battle Arena,200600.0,200600.0,123,2
F1 2018,2018,Racing,200000.0,0.0,21,1
Guns of Boom,2017,First-Person Shooter,198750.0,8750.0,8,21
TrackMania 2: Stadium,2013,Racing,198035.21,90394.9,342,278
Age of Empires,1997,Strategy,190075.61,33235.72,246,95
Battalion 1944,2018,First-Person Shooter,185654.67,55790.79,114,21
Assetto Corsa,2014,Racing,182909.3,408.6,78,29
F.E.A.R.,2005,First-Person Shooter,178000.0,0.0,20,5
Rainbow Six: Vegas,2006,First-Person Shooter,176400.77,0.0,137,7
Gears of War: Ultimate Edition,2015,Third-Person Shooter,170000.0,0.0,39,3
TrackMania Nations Forever,2008,Racing,167386.65,20831.9,109,73
WarCraft III: Reforged,2020,Strategy,167036.45,70589.45,61,57
Counter-Strike: Condition Zero,2004,First-Person Shooter,162150.6,0.0,111,3
Farming Simulator 19,2018,Strategy,158361.3,38915.49,84,12
Multigaming,2000,Strategy,148384.33,0.0,19,3
Unreal Tournament 2003,2002,First-Person Shooter,147473.91,0.0,33,14
FIFA 15,2014,Sports,144373.99,27934.84,169,352
MechWarrior Online,2013,First-Person Shooter,143490.0,0.0,0,1
Wolfenstein: Enemy Territory,2003,First-Person Shooter,140963.24,2586.37,152,18
Quake II,1997,First-Person Shooter,140179.5,379.5,32,10
Mortal Kombat 9,2011,Fighting Game,136891.67,0.0,67,26
Gears of War 2,2008,Third-Person Shooter,135000.0,0.0,0,5
Unreal Tournament 2004,2004,First-Person Shooter,133969.33,0.0,41,12
S.K.I.L.L. - Special Force 2,2013,First-Person Shooter,132532.93,15977.12,82,21
Evolve,2015,First-Person Shooter,131509.05,5454.95,110,33
Special Force,2004,First-Person Shooter,130250.0,0.0,0,3
Mortal Kombat XL,2016,Fighting Game,129203.79,0.0,50,17
Tekken Tag Tournament 2,2011,Fighting Game,125965.7,0.0,142,138
Madden NFL 19,2018,Sports,125000.0,0.0,5,3
FIFA 09,2008,Sports,121618.34,6296.92,52,19
Tekken 6,2007,Fighting Game,119874.64,0.0,59,30
Artifact,2018,Collectible Card Game,119168.54,107532.73,275,166
FIFA 16,2015,Sports,117828.11,944.17,61,28
FIFA 10,2009,Sports,117026.71,26879.5,64,48
Ultimate Marvel vs. Capcom 3,2011,Fighting Game,116733.16,0.0,190,169
Guilty Gear Xrd REV 2,2017,Fighting Game,116634.7,80.0,101,49
Call of Duty: Modern Warfare 2,2009,First-Person Shooter,112860.64,61850.0,59,18
FIFA 06,2005,Sports,110764.53,0.0,21,10
Soul Calibur VI,2018,Fighting Game,109895.21,15100.0,101,49
Warface,2013,First-Person Shooter,109555.0,0.0,32,2
Attack on Titan Tribute Game,2013,Fighting Game,108650.0,108650.0,21,15
Unreal Tournament 3,2007,First-Person Shooter,104977.82,0.0,7,4
NHL 18,2017,Sports,102700.0,12700.0,20,6
Soul Calibur IV,2008,Fighting Game,100260.0,0.0,4,3
Madden NFL 2006,2005,Sports,100000.0,0.0,1,1
Zula,2015,First-Person Shooter,100000.0,0.0,20,1
Creative Destruction,2018,Multiplayer Online Battle Arena,100000.0,100000.0,8,1
Madden NFL 2007,2006,Sports,100000.0,0.0,1,1
Madden NFL 2008,2007,Sports,100000.0,0.0,1,1
Madden NFL 2009,2008,Sports,100000.0,0.0,1,1
QuakeWorld,1996,First-Person Shooter,99083.7,1078.26,47,14
FIFA 14,2013,Sports,96347.81,8970.33,57,69
Brawl Stars,2018,Strategy,94950.0,8700.0,51,10
Hand of the Gods,2017,Collectible Card Game,94434.2,21934.2,48,36
FIFA 11,2010,Sports,93983.77,8829.75,72,78
TrackMania Nations,2006,Racing,93381.66,40000.0,18,8
Battlefield 2,2005,First-Person Shooter,91715.22,0.0,0,12
Unreal Tournament,1999,First-Person Shooter,89000.0,0.0,14,5
RaceRoom Racing Experience,2013,Racing,85218.7,11110.0,142,17
Minecraft,2011,Multiplayer Online Battle Arena,84839.15,84839.15,22,11
Street Fighter X Tekken,2012,Fighting Game,84090.64,861.3,115,93
BlazBlue: Cross Tag Battle,2018,Fighting Game,82800.03,0.0,89,31
"Warhammer 40,000: Dawn of War",2005,Strategy,79816.5,0.0,7,3
Rainbow Six: Vegas 2,2008,First-Person Shooter,79000.0,0.0,0,8
BlazBlue: Central Fiction,2015,Fighting Game,78879.26,296.84,86,38
Pokkén Tournament,2016,Fighting Game,77016.66,45.0,62,25
Big Buck Hunter Arcade,2016,First-Person Shooter,76200.0,0.0,3,1
King of Fighters XIV,2016,Fighting Game,72902.09,860.0,90,37
NHL 13,2012,Sports,70000.0,0.0,1,1
Ring of Elysium,2018,Battle Royale,70000.0,70000.0,9,4
Rise of Nations: Rise of Legends,2006,Strategy,69600.0,0.0,8,1
Super Smash Bros.,1999,Fighting Game,68082.81,40.0,234,123
Samurai Shodown (2019),2019,Fighting Game,68009.91,0.0,58,15
Return to Castle Wolfenstein,2001,First-Person Shooter,67424.3,0.0,30,3
Call of Duty 2,2005,First-Person Shooter,66828.51,5953.8,41,17
Age of Empires III,2005,Strategy,66463.85,24963.85,86,72
Project Cars 2,2017,Racing,66150.0,8000.0,37,22
Battlerite,2016,Multiplayer Online Battle Arena,65173.45,37173.45,86,75
Dead or Alive 6,2019,Fighting Game,64232.54,1010.0,63,18
World of Tanks Blitz,2016,Strategy,63330.0,3330.0,14,6
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,0.0,27,4
Carom 3D,1999,Sports,60500.0,0.0,11,4
Soul Calibur V,2012,Fighting Game,60008.54,0.0,78,26
Red Stone,2004,Role-Playing Game,58000.0,0.0,12,2
FIFA 05,2004,Sports,57728.01,0.0,5,8
Escape from Tarkov,2020,First-Person Shooter,54600.0,54600.0,37,2
FIFA 12,2011,Sports,54431.52,7152.1,53,66
FIFA 03,2002,Sports,54066.44,0.0,10,3
Command & Conquer 3,2007,Strategy,53086.67,0.0,9,8
Age of Mythology,2002,Strategy,52360.0,360.0,22,6
Asphalt 9: Legends,2018,Racing,51520.0,0.0,5,2
Call of Duty,2003,First-Person Shooter,50629.77,0.0,51,3
Day of Defeat,2003,First-Person Shooter,50300.0,0.0,37,3
Splitgate: Arena Warfare,2019,Multiplayer Online Battle Arena,50000.0,50000.0,64,2
FIFA 2000,1999,Sports,50000.0,0.0,4,1
Madden NFL 2016,2015,Sports,50000.0,0.0,8,1
Descent 3,1999,First-Person Shooter,50000.0,0.0,1,1
WWE 2K20,2019,Fighting Game,50000.0,50000.0,20,2
Street Fighter III: 3rd Strike,1999,Fighting Game,49378.86,100.0,83,35
Yu-Gi-Oh! Duel Links,2016,Collectible Card Game,48746.72,48746.72,328,219
Under Night In-Birth EXE: Late[st],2015,Fighting Game,46553.33,0.0,98,34
Uncharted 4: A Thief's End,2016,First-Person Shooter,46235.07,0.0,5,1
FIFA 2001,2000,Sports,46000.0,0.0,9,2
King of Fighters XIII,2010,Fighting Game,44724.28,0.0,107,43
Gran Turismo 4,2004,Racing,44000.0,0.0,5,2
FIFA 2002 World Cup,2002,Sports,43000.0,0.0,8,1
Marvel vs. Capcom: Infinite,2017,Fighting Game,42482.12,0.0,49,19
Forza Motorsport 6,2015,Racing,42350.0,2400.0,35,9
Bloodline Champions,2011,Multiplayer Online Battle Arena,41905.32,1055.32,43,12
Project Cars,2015,Racing,41523.71,36771.0,39,109
Pro Evolution Soccer 4,2004,Sports,40550.64,0.0,11,2
FIFA 04,2003,Sports,40000.0,0.0,3,3
Aliens versus Predator 2,2001,First-Person Shooter,40000.0,0.0,1,1
Virtua Fighter 5,2007,Fighting Game,39830.0,0.0,14,7
Marvel vs. Capcom 2,2000,Fighting Game,39060.0,10.0,60,28
Rivals of Aether,2015,Fighting Game,37737.0,1000.0,39,14
Guilty Gear Xrd -SIGN-,2014,Fighting Game,37445.66,0.0,80,38
BlazBlue: Chronophantasma,2012,Fighting Game,37020.58,0.0,63,15
Guilty Gear Xrd -REVELATOR-,2016,Fighting Game,36437.43,0.0,61,19
Grey Goo,2015,Strategy,36400.0,6000.0,18,5
Need for Speed Carbon,2006,Racing,36322.58,0.0,12,4
Need for Speed: Most Wanted,2005,Racing,35694.54,0.0,18,7
Injustice: Gods Among Us,2013,Fighting Game,35176.89,0.0,101,117
Need for Speed: Underground,2003,Racing,35000.0,0.0,3,1
Project Gotham Racing 2,2003,Racing,35000.0,0.0,4,2
Need for Speed: Underground 2,2004,Racing,35000.0,0.0,6,3
Street Fighter V: Champion Edition,2020,Fighting Game,33628.66,0.0,10,2
Playchess.com,2002,Strategy,32866.58,32866.58,116,9
Need for Speed: ProStreet,2007,Racing,32208.46,0.0,12,3
Pro Evolution Soccer 5,2005,Sports,32000.0,0.0,4,1
Dead or Alive Ultimate,2004,Fighting Game,30000.0,0.0,3,1
Asphalt 4,2008,Racing,29500.0,0.0,5,2
Pro Evolution Soccer 2014,2013,Sports,29410.25,0.0,4,1
Pro Evolution Soccer 2016,2015,Sports,27243.84,0.0,17,6
Pro Evolution Soccer 2015,2014,Sports,26544.76,0.0,3,1
Dota Underlords,2019,Strategy,26024.18,26024.18,62,36
Battlefield 3,2011,First-Person Shooter,25407.46,0.0,5,7
Project Gotham Racing 4,2007,Racing,25208.46,0.0,5,4
Pro Evolution Soccer 3,2003,Sports,25000.0,0.0,8,2
BlazBlue: Continuum Shift II,2010,Fighting Game,24591.01,0.0,14,5
Capcom vs. SNK 2,2001,Fighting Game,24186.79,0.0,36,19
Shadowrun,2007,First-Person Shooter,24000.0,0.0,0,3
Ghost Recon Advanced Warfighter,2006,First-Person Shooter,24000.0,0.0,0,2
Super Street Fighter II Turbo,1994,Fighting Game,23678.05,0.0,104,44
osu!,2007,Strategy,23100.0,23100.0,971,7
NHL 19,2018,Sports,22566.67,3000.0,10,8
Marvel vs. Capcom 3,2011,Fighting Game,22343.62,0.0,38,12
TrackMania 2: Canyon,2011,Racing,22098.74,5539.7,21,36
Super Street Fighter IV,2010,Fighting Game,20877.3,0.0,40,16
Pokkén Tournament DX,2017,Fighting Game,20275.4,211.4,43,26
Pro Evolution Soccer 6,2006,Sports,20216.82,0.0,5,2
Mad Skills Motocross 2,2017,Racing,20163.0,0.0,12,1
UNO,2016,Strategy,20000.0,20000.0,16,2
Guitar Hero III: Legends of Rock,2007,Sports,19000.0,0.0,8,2
Persona 4 Arena Ultimax,2013,Fighting Game,18828.16,0.0,58,19
Battlefield 2142,2006,First-Person Shooter,18546.14,0.0,0,4
Legends of Runeterra,2020,Collectible Card Game,18481.03,18481.03,14,3
Skullgirls 2nd Encore,2015,Fighting Game,18321.0,450.0,34,12
ARMS,2017,Fighting Game,18248.09,4986.16,95,82
Super Street Fighter II Turbo HD Remix,2008,Fighting Game,16360.0,0.0,29,8
Tetris,1989,Puzzle Game,15901.38,401.38,25,6
Day of Defeat: Source,2005,First-Person Shooter,14068.57,3782.1,50,8
Battlefield Hardline,2015,First-Person Shooter,13463.28,0.0,20,1
Prophecy,2020,Strategy,13000.0,13000.0,27,4
Critical Ops,2015,First-Person Shooter,12606.41,10106.41,4,3
Tekken 4,2001,Fighting Game,12500.0,0.0,4,4
Heavy Metal Machines,2017,Multiplayer Online Battle Arena,12339.33,12339.33,35,1
Tekken 5: Dark Resurrection,2006,Fighting Game,12180.0,0.0,18,5
Wise Star 2,2008,Puzzle Game,12000.0,0.0,3,1
Crysis,2007,First-Person Shooter,11340.95,0.0,0,2
Forza Motorsport 3,2009,Racing,11000.0,0.0,3,2
Mystery Game Tournament,2019,Fighting Game,10995.0,0.0,56,8
Need for Speed: Shift,2009,Racing,10500.0,0.0,3,1
Guitar Hero 5,2009,Sports,10500.0,0.0,3,1
Guilty Gear XX Accent Core,2007,Fighting Game,10365.0,0.0,33,4
Guilty Gear XX Slash,2005,Fighting Game,10250.0,0.0,6,2
Tekken 5,2004,Fighting Game,10250.0,0.0,10,9
Hyper Street Fighter II,2003,Fighting Game,10250.0,0.0,8,1
Splatoon 2,2017,First-Person Shooter,10055.0,300.0,13,7
Internet Chess Club,1995,Strategy,10000.0,10000.0,6,1
Dirt Rally 2.0,2019,Racing,10000.0,0.0,5,2
Trackmania (2020),2020,Racing,9433.49,9433.49,50,20
Live for Speed,2003,Racing,9219.14,0.0,16,8
Vampire Savior,1997,Fighting Game,9185.95,1147.21,32,18
Skullgirls Encore,2014,Fighting Game,9155.4,0.0,37,13
Company of Heroes 2,2013,Strategy,8561.22,605.0,11,6
Black Squad,2017,First-Person Shooter,8480.72,8480.72,57,17
Dead or Alive 5: Last Round,2015,Fighting Game,8163.82,0.0,45,19
Metal Gear Online,2008,First-Person Shooter,8000.0,8000.0,37,8
King of Fighters 98,1998,Fighting Game,7945.57,0.0,7,3
Street Fighter IV,2009,Fighting Game,7938.22,0.0,41,12
Star Wars Jedi Knight II: Jedi Outcast,2002,First-Person Shooter,7679.25,0.0,0,1
NASCAR Thunder 2002,2001,Racing,7679.25,0.0,0,1
Million Arthur: Arcana Blood,2017,Fighting Game,7430.0,10.0,9,3
Gears of War 3,2011,Third-Person Shooter,7255.81,2700.0,13,4
Doom (2016),2016,First-Person Shooter,7000.0,0.0,6,1
Diabotical,2020,First-Person Shooter,6585.93,6585.93,51,14
Persona 4 Arena,2012,Fighting Game,6336.63,0.0,42,11
Melty Blood: Actress Again Current Code,2010,Fighting Game,6155.0,20.0,35,12
Under Night In-Birth EXE: Late,2014,Fighting Game,6025.76,0.0,52,23
NASCAR Thunder 2003,2002,Racing,5933.5,0.0,0,1
Divekick,2013,Fighting Game,5840.0,0.0,27,11
Unreal Tournament (2016),2016,First-Person Shooter,5084.97,5084.97,82,8
Rage,2011,First-Person Shooter,5000.0,0.0,3,1
The Elder Scrolls: Legends,2017,Collectible Card Game,5000.0,0.0,3,1
BlazBlue: Chronophantasma Extend,2015,Fighting Game,4918.77,0.0,28,11
Supreme Commander,2007,Strategy,4901.26,0.0,0,1
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,First-Person Shooter,4901.26,0.0,0,1
Soul Calibur II,2003,Fighting Game,4790.0,0.0,15,7
Guilty Gear XX Accent Core Plus R,2012,Fighting Game,4640.0,0.0,61,19
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting Game,4550.0,2550.0,7,5
Power Rangers: Legacy Wars,2017,Fighting Game,4178.55,0.0,2,1
Windjammers,1994,Strategy,4172.16,40.0,32,11
Gran Turismo Sport,2017,Racing,4020.0,0.0,9,2
Fantasy Strike,2019,Fighting Game,3860.0,1250.0,18,3
NHL '94,1993,Sports,3818.56,0.0,25,8
Gran Turismo 3: A-Spec,2001,Racing,3250.0,0.0,4,2
Sailor Moon S,1995,Fighting Game,3201.19,10.0,18,11
NHL 15,2014,Sports,3157.16,0.0,3,3
NHL 14,2013,Sports,3023.96,0.0,6,3
Puyo Puyo Tetris,2014,Puzzle Game,2861.14,1243.39,27,14
Dengeki Bunko: Fighting Climax Ignition,2015,Fighting Game,2852.8,185.5,31,10
Xonotic,2010,First-Person Shooter,2743.21,2743.21,123,20
Age of Empires Online,2011,Strategy,2668.0,2668.0,16,7
Tetr.io,2020,Puzzle Game,2314.5,2314.5,11,8
Lethal League Blaze,2018,Fighting Game,2172.9,1056.15,15,8
Reflex,2015,First-Person Shooter,2158.4,1994.74,21,7
Puyo Puyo Champions,2019,Puzzle Game,2146.8,75.0,12,4
Pro Evolution Soccer 2008,2007,Sports,2084.15,0.0,6,3
ComPet,2016,Strategy,2000.0,2000.0,50,1
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting Game,1994.0,0.0,10,4
Mario Kart 8 Deluxe,2017,Racing,1754.44,0.0,30,4
Koihime Enbu,2016,Fighting Game,1665.0,50.0,13,6
Fighting EX Layer,2018,Fighting Game,1642.96,10.0,16,7
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,2009,Fighting Game,1555.01,1335.01,12,3
Catherine,2011,Puzzle Game,1545.0,75.0,11,7
Madden NFL 2004,2003,Sports,1500.0,0.0,3,1
Pro Evolution Soccer 2009,2008,Sports,1395.97,1395.97,5,2
Splatoon,2015,First-Person Shooter,1390.0,1390.0,3,4
Power Rangers: Battle for the Grid,2019,Fighting Game,1390.0,860.0,11,4
Street Fighter Alpha 2,1996,Fighting Game,1390.0,0.0,17,8
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Fighting Game,1330.81,0.0,13,8
Assetto Corsa Competizione,2018,Racing,1298.0,1298.0,8,6
Supreme Commander: Forged Alliance,2007,Strategy,1290.01,0.0,0,1
Under Night In-Birth Exe:Late[cl-r],2020,Fighting Game,1050.0,50.0,7,2
Shards of War,2015,Multiplayer Online Battle Arena,1029.21,1029.21,20,1
Trackmania United,2006,Racing,1027.5,0.0,3,1
Warparty,2019,Strategy,1000.0,1000.0,4,1
Arcana Heart 3,2009,Fighting Game,1000.0,0.0,4,1
Rising Thunder,2015,Fighting Game,1000.0,0.0,3,1
Doom II: Hell on Earth,1994,First-Person Shooter,1000.0,0.0,1,2
Soul Calibur II HD Online,2013,Fighting Game,945.41,0.0,29,5
Kill la Kill the Game: IF,2019,Fighting Game,920.0,150.0,12,4
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,Fighting Game,820.0,0.0,7,2
Trackmania 2: Valley,2013,Racing,779.34,0.0,6,2
King of Fighters 2002 Unlimited Match,2009,Fighting Game,760.0,0.0,6,2
NHL 12,2011,Sports,702.93,0.0,6,2
Garou: Mark of the Wolves,1999,Fighting Game,658.71,145.0,13,4
Samurai Shodown V Special,2004,Fighting Game,590.57,100.46,15,5
Fight of Animals,2019,Fighting Game,580.68,580.68,7,3
Them's Fightin' Herds,2018,Fighting Game,580.0,50.0,10,4
Virtua Fighter 5 Final Showdown,2010,Fighting Game,573.77,0.0,28,6
Arcana Heart 3: Love Max Six Stars!!!!!,2014,Fighting Game,570.0,50.0,8,4
Trackmania Turbo,2016,Racing,566.91,566.91,3,1
SLAYERS FOR HIRE,2020,Fighting Game,500.0,500.0,8,1
Legend of Glory,2015,Multiplayer Online Battle Arena,472.66,472.66,0,1
SNK Heroines: Tag Team Frenzy,2018,Fighting Game,430.0,0.0,3,1
Arcana Heart 3: LOVE MAX!!!!!,2013,Fighting Game,410.0,0.0,6,2
Street Fighter EX2 Plus,1999,Fighting Game,350.0,0.0,5,2
Ultra Fight Da! Kyanta 2,2019,Fighting Game,320.0,0.0,3,1
Acceleration of SUGURI 2,2018,Fighting Game,310.0,100.0,6,2
Punch Planet,2017,Fighting Game,300.0,300.0,3,1
Street Fighter Alpha 3,1998,Fighting Game,300.0,0.0,15,4
Slap City,2018,Fighting Game,300.0,300.0,3,1
Skullgirls,2012,Fighting Game,300.0,0.0,3,1
JoJo's Bizarre Adventure: Heritage for the Future,1999,Fighting Game,284.99,284.99,5,2
Gundam Versus,2017,First-Person Shooter,280.0,0.0,6,1
Duck Game,2014,Fighting Game,250.0,250.0,3,1
Aquapazza: Aquaplus Dream Match,2011,Fighting Game,245.0,0.0,5,2
MOBA Legends,2016,Multiplayer Online Battle Arena,225.0,225.0,3,1
Jstris,2014,Puzzle Game,225.0,225.0,8,1
Tetris Ultimate,2014,Puzzle Game,221.0,0.0,3,1
Super Mario Party,2018,Strategy,220.0,0.0,4,1
